Row,SA_meanCT,RR_meanCT,RVNS_meanCT,SD_meanCT
..3..961.9..4....3.5..7394..6.1.85.27...9.8..24..6......4...3.7...58.2.18.12....6,0.0646972,0.0223448,0.258074,0.2537764
.19...2.323...146...8..7......2.697.92.84...1.64.3...5...1.8.5.3.6.7..9.8..56...2,0.0625451,0.0236366,0.3182499,0.3029565
.1..4..29..26.57.....3.9....941.28...7.9...13....8.6.42598...361.84.3...7.....1.5,0.0744792,0.0311175,0.012689,0.1541839
569.1..78..4.7.2...3.9...6.6..5..19.12...3.46..34..8.2...2.83..47...9.....1.56...,0.0724048,0.0368148,0.6183743,0.2050132
.675.1.3.........9...6.84.5.5.716.8..41...2......293...95....48.12.4.5...8.9....6,0.1260393,0.0871316,0.3660242,0.2049543
....84.539....2.1....9..726..7..83..3594...8...4..76.1.8..135.......6..476.5....2,0.0794706,0.0316694,1.1232365,1.9111646
792..16......7..34..4.86....5.7.94.2.1..3.8....9.6...5.......816.14..57.583.2.9..,0.1452632,0.4496842,1.2156297,1.9546045
....43..7......285786.1.....5..68.9..71...84.6..9....331..8.6....962..5.2..4.197.,0.0686201,0.0229584,0.0099198,0.0026529
6.9.....13...7.2....8.39..5...41..5..6.5.28..9.4..3.6.7....8...28..573.4...2.19.7,0.106073,0.0415145,1.1124335,0.8545357
5......2..4...96..3...58...2.67..1.989..1.5.3.37.....6.7.86.45..8...4.9....9.2..7,0.1068189,0.0389415,0.3259276,0.6051643
....41.76..5..8...2..76.8.9.821.4....7...29.54..97.1..5..3...8.3.1..5..469......3,0.1732765,0.4292841,1.0259501,1.5552509
..6..235...2..8.79.9.14..8...5.83.67.4.......7.861.2..5.......69.17..52...32.61.4,0.0601985,0.0198769,0.0111142,0.3032242
9.2..58.3...9......534...6..6.2..9.152...84..1.7....8...614.5..4....3.1787.6...3.,0.0830447,0.0386964,0.231818,0.7546288
1......75...619.43.8.4...2...5....8.89....362..47.25.175..936...2...4..8..3..1..9,0.0665021,0.0294207,0.0113852,0.4032046
8.692...1.5.....7...7..4..26....3.5.53...624....18..9.19..7.3.4....1.72.3.2.58..6,0.0684849,0.023927,0.0082998,0.0030209
369..1.8......2....2.4.61.3.983...712..7..5...45..86.947..9..1.8.3.2...4..6.5.3..,0.0621961,0.0237825,0.0101591,0.2530955
.4.26.3.7..65.892.8...34....9..5.61.7.1..3..9453...8..372...4....5....6..8..19...,0.0711351,0.0301159,0.0136349,0.2541357
.6..5.....9..815.73.1..2.64..482....2...1.7.9.1893...67.......3.43...9..685....2.,0.1464928,0.3451963,0.7175812,0.308904
...3...7.56.14..3..4...96...3...1..8198.3..67...29..5.31.6.248.8......2...7..5.91,0.0683471,0.0258801,0.0144735,0.0039301
.....9..6..5.17..83...8.27.6.3.9.....8...2.4..2..359.181.4..6.7.9..283..4.7.618.5,0.0596313,0.0196299,0.4659501,0.3020505
..6..3......9.81..48.521....9.....13..53...6.7...842..1.4.9...5.29..687...345.6..,0.0812343,0.0307055,0.0151257,0.4538119
....46..5.15....26..2..83..86..1.297.....7431...3...6.9.4.......2.78..1..315.9.8.,0.0763038,0.0327258,0.0214573,0.6036206
...67....56..3...774.5.21..1.2...9.39..1...45.34.8..........89..754...36.912.8.7.,0.0899723,0.0485033,1.7132104,1.403236
..3..6...45....8.....1..46.....4.92.89...7.....7......5..6...9.96.7.4.8.....915..,2.0624103,1.918035,2.5360191,3.3136239
12..8..59..6.7.........3..48..2.75....5..4.....4....23......8716.8......5...3..9.,1.9242975,1.9301939,2.4229154,2.5314907
..35...6...62....8...1......9..7...5........1.4..3..7..1.....425..84....9.....8.7,2.4544571,2.4367263,3.4066311,3.1808147
1...5..8.........1...23.5.4.3.6.....9.2....1.5...42..7.......3.298...4....48...7.,2.4776887,2.1089256,3.3535227,2.7553405
.2....4.9..69...27.8....61....6.......1..257....4....8.345.7....18.6....67..8.2..,1.8360701,2.1859187,2.3572281,2.7763586
..3.6..9.4...89..2....1.....32.7.169...8.3..7.4......8.68....7.2..14...6.........,2.2255484,2.1361215,2.7976979,2.6709017
.....67........12..8..3....8.5.7....2.....6..3....2.54.1.3.....9.784..1..4.....3.,2.7952487,2.4524618,3.4992907,3.2661654
..3...7....6.8..92.8......3..4.6....5.21..36.8..4.....2.....97....2.75....8.5..2.,2.2290488,2.1447021,3.1584797,3.2675989
12.........68.......942.......7...91..7..1.468.4....3...8.34.6.9.1..........6...2,2.1036768,1.9146684,2.3569713,2.2654371
...56...44...9..1...9.....5...2...5783.7..2...1.....4.....3...6.68........2..1..9,2.3255571,2.3332106,3.6890096,2.9768417
1....5.9..56.7.8...8...3..48.....3.....487.....5...........29...1.5......971.4..6,2.1981826,2.0403085,2.4565357,2.8774359
........84..289.....9...4...6.4...13.1....7..5.86.7....4.7..63......6.5....1...47,1.9942492,2.0151569,2.5076395,3.0494548
12.96....4.......9...23.41.5...2..........7.4.9.5.7.....57.61.3....526.....1..8..,2.1059669,2.1474861,3.0986183,2.5869595
.2...4.894.......2.89.23..1.....5.7.2.71.....51.....2.86...........1...3...9.86..,2.3204165,2.2375587,2.4881326,3.2219676
.2...4....5.....39..9...1..2..49.7.........8..783....29....3..7.17.8.9.4...5....3,2.2033127,1.9115766,3.379368,3.4171692
.....6....5....7......421.6.9....2..3....8.9...2..1...9....7.68........1.1.59....,2.9629413,2.7703638,3.0086961,3.3247615
12........5.9.3.....9....64....97....713...5.6..41..3......6...3..18..47.18.....3,2.1320409,2.2502967,2.4997692,2.7779767
.2394..7.....7.2....96....45.......7.7.1693.....5.....96...4...3.....8...4.7189..,1.6316078,1.551713,2.1415946,1.8694066
1.3.5..8.......2...8..3...586...7...2....98....428..673....4.....297.....4.6..9.1,1.8102258,1.721852,3.0702281,2.3581826
......5.8...8.1..3..9....6..176..2..5...1.6..86.....4.24.....3.....9......8..7.52,2.287666,1.9832666,3.1436413,3.316146
....8.7..4..9...1......1.6.267.9...4..4....8.....7.2..3.586..........8..91.732...,2.4828256,2.1195447,2.6103111,3.2664914
12...9...4.68...9.7.......5..16...292..1.48...3.............5.3.....5.....73..648,2.2042648,2.0967774,3.6695101,3.6113417
.2..7.9...56..8.3...........91.................51.24..6....97...378...6....6..294,2.4870506,2.274887,3.2441743,3.313041
1.34...........29.7.9........53..1......4.8..831.9..27.12......5...28......16.5..,1.956953,2.1632296,3.1307192,2.822329
...69..........91..8......2..1.7....8..9..27...24316..3......8..9..8....24...73.6,2.0914184,1.8657969,2.5372767,3.060953
..3.4..89...8.....7....25.....1.......25..94....62..7..38.76.2..1....3..6....1...,2.4102614,2.2565184,3.6980918,3.673164
....6.57..56.7......9..2........1..28....37..3...5..1...84......1...726.2..6...3.,2.3625873,1.9566202,3.4214411,2.8870203
....5.4.9.....12.....2.......7.2...656.1.....81...5.....8..9.6..3..74.92..1.3..4.,2.0462526,2.1463962,2.7983375,2.814876
.2...4.9.45.91...87...2.4...........5.168.....9.37..219..4.81.5.......8.........2,2.2743547,2.5902843,2.8041045,3.7585279
......8..4.6..7.......13....3..4..6.......73497....28...5..4.2..9.53....8..96..7.,2.3033603,1.8761807,2.7224414,3.3432184
12..9..47.....2....8.1.3........7.94.9..5....2.8...1...6.5.9..........5..7..68.3.,2.36807,1.9830185,2.7682293,3.3626759
..396...8......3..7.9..5....97..12......7....2.....45.........5..4.5...661...782.,2.1758675,2.2376365,2.6442822,2.8165742
.2...7.954....3..1.8.5.2.....72......9....6...15....8......6..3.3.8...4.....5.7..,2.3529781,2.2319854,3.2613426,3.5300358
......6.......1...7.9.....5..74.3..9..1.5...2..2.8.....1.534.9.2......4.3....6.8.,2.4667027,2.477955,2.3759955,3.4641227
.2....4.8....81......24..........6..56...87..931.6..423..6.92.7.......9.8.....31.,2.1339686,2.0709483,2.4641085,2.9749357
1..8..5.7....97......2...16..4..8.6.5.7.42..3.6.73.....45........8....31...3...5.,1.9338206,2.3745414,2.4420926,4.0824368
..3..47....6....38..9..3.2..672...8.8...3.572.....8...57....6.1...1.....9...6.2.7,1.830771,2.145707,2.5753484,2.4089825
.....56.845..............142.1.98.3...73.6.......71.963......87..2...1..9.8...3..,1.8424744,1.9735116,3.2271914,3.3635893
12......8..6.7......9..215.....19.36.6.......3..42....6..7..4...45........729...3,2.2285237,2.4723478,2.8564329,3.9855529
....76.5....2.9....8...14.....9.4..28..3...........64..3...52..9.7...8....5....61,1.9668397,2.2437443,2.5532407,3.4203846
.2..759........1....913...6..45.7.8..7....42...83....13..4..7...........815......,2.444684,2.2562579,2.9796557,2.8231139
1.39....8..6......7..4...16...3.91......1.6.....5.8.43..56..7....7....3.8.....9.4,2.2103286,2.120883,2.7261629,2.5682679
.23....78.....1.2.......4.5....3.....9..178....852...9...4...9...5.......42..37..,2.7230467,2.3750065,3.7987944,3.4136162
....9.8....6.7.....89.1...4.4.......39..8...6...7.3..1..8..57..2.5.....86..1.....,2.1691367,1.9045866,3.056086,2.8814207
.234.6.5.4.6.....1..9.5..6.........4.4.79...........7....8.95......1...7.72....83,2.6089003,2.1514013,2.9388717,3.3253662
...6...8.4...7...97..1.2.....7.....86...8...3.......7437..916....8.6.....6.53..4.,2.3966466,2.1600106,3.0506151,3.412998
12..5...9..6...1..78...3...9..64..1..6..15......3...2487..9.2.....8.....6.5....4.,1.6395628,1.8531484,2.9559693,3.7141064
....4..7.4.6..7.92.89.2.5...6....2.19.21...4......283..1..3.........9.....87.....,1.8194704,2.257809,2.4887137,3.0607264
....7695....829...........4...2......9..4...18...93.6...81..73.6.5....12..1..2.4.,1.8448024,1.8919207,2.3416927,2.7764474
1.....95.4..9.8....8......2.....4...34.7.2..6.9.1.......5..1.64........36...37.2.,2.2172416,2.0561012,2.3570971,3.2133655
..3..59..4..9....7.8.1..6.........6.....3.29.971...5..3..42.17.....1.......39...2,2.4470142,1.5603837,3.4141876,3.1145732
..3..97....6..89...8....3.4.3.........13.2.98897.1.........7..16....5.....2.6..4.,2.0161924,1.7588323,2.4268482,2.1708146
1......6..5.782....8...14.2...2..71...........7...9.4.9..1..3..3....5.7..42.3.9..,2.2654767,2.2966571,3.3384124,3.4649364
..3.5..8..5...9..37....3.4.8417......3...4.6.5..........8.....7...6.74.....5..621,2.2292249,2.2155616,2.461089,2.9783576
1..5...6.4..8.9........14.2.6..4579.5...3...4......6........8.9.4.71.3..8.7..6...,1.9087289,1.7240229,2.0222398,2.8831306
.2..6....4...8.1.27..1...5..3..169...7...4..........18.....3.2..47.5...9..54..3..,2.224349,1.9247019,2.6888177,3.3621116
...6.5.........19.78..3...............59...7..34.5...13.7.....26...2...5.9...1784,1.8926166,1.713281,3.1447829,3.5742677
..3...9.......7.1.78...........95..1..52..6.9...8..7..5.2.8..6..6....4.3..164....,2.5449675,2.2781418,2.8714019,3.0168513
1..4..7.9.5.......7...32.6..3.5..8.1...2.8........1..6..87..3.45..........2.9.1..,1.9893835,2.2065359,3.7794699,3.8104944
.234.7..6....3..2.....614.......8..4.9.1........3..5.2..46.5....72....819........,2.0929722,2.4080886,2.5504838,3.3154998
..3..5......2.....7894...2..1..6.2.8........1862.3.5.4...3.4....759...1..4..2....,1.8323569,2.1534249,2.8854228,3.1276048
........7..6...9.3.8..3.42.8...43.....4.5....9..12..8..4....5.1..7......5.24.7..9,2.1153423,2.0746855,2.8787007,2.7127993
..3..8..4.5673........1.........3....4..5.619..2.....79...8.2..2.5....9.618...5..,2.1761973,2.0538552,3.4713382,3.4193848
..34..7.9.5.....3.....5.64...42.8....9.3..5...7.......6.....1...1.....7..376...98,2.917862,2.9140453,3.7289144,4.412773
...5...94..6...271...1.......5...7..81.2793..2......1.5.8..1..93.........7...84..,2.3489509,2.1823026,3.507863,3.1543176
1.35.......6..3....89..4..5..17.9....4.182...8.......2.1....6.856.3...1.......2..,2.203897,2.1161107,3.5248542,3.1311414
.....459....71......9.2..16..4....29892........1..5...63....9.....4..8.5....8....,2.3504604,2.1671911,2.7585924,3.1205913
12..9..6745.........9..6.4...7.534.9...6....1.3.......87.4..1....5.3.......8..7..,2.159654,1.9527112,3.0567473,2.8139734
......89445.........91.23.....7..1.6.31.26.....8.......1...5.......1965.86.2.....,2.1883221,2.039562,2.4864779,2.5220933
..34.97....6.......8....4.5.....21...9...5..22...61.5.9.4....1..1.6.4.7..32.....8,2.1077352,1.7504991,2.5913134,2.5297516
......5.84..1..3....9.5...48...3.......5.16..63..2...79..2...1.....9.8.2.4...8...,2.3116282,2.2273846,3.3205121,2.9615634
...5.897.4...3....7....4.65..........6.24...33.....812....9...7..8...5...1..854..,1.8081069,2.0860664,2.5302433,2.9136053
...4..7.9.5..97.......3.42..6.7..5..2....39.8.3..2....8.....2..34..658..6.1......,1.9621132,1.8847444,2.6032191,2.7656696
....7.9........13.7....342.9.87...4.....54.8.51....3....5.4..6...269.8..6...2....,2.0200135,1.7320968,2.2788204,2.9346033
12.8.....4.67....27....34..........3..7.5.14.....67.5....5.18..8..9....1.1.....29,1.6107987,1.8834405,2.724228,2.5634223
...68..49.5.92......9...2..6.7.4...8...7.1..6........38..29......2..4.1...5......,2.3624732,2.6944819,3.5506356,3.3748792
12.4...5...672..3............4............82381...56..2..5..9.....8...4.9.531...6,2.0908182,1.5991379,3.0834557,3.0360236
.2.....9.....7......9..6..5.....3..8.1......98.765...4...1...5..915....267.4...3.,2.3474755,2.2757392,2.6342408,2.6713624
1.......9.....213....5....4.9..2...7.4........3.84...6..5...8...6..79..39..3...7.,2.2686566,2.024384,2.4951195,3.000585
..3.7...8...2.931..8...1..62.....1....1.3....634..8..29.2....4......48.1...9.....,1.7361505,1.8151394,2.9471418,2.3238932
..3.759..4...29....8....6...6.14...59.....38.......1.4.7.........5..4.3.....9..67,2.1889056,2.1299898,2.5852422,2.5763051
.23.5....4...7.1...8.6..3...7.....612..........5.14..73......426...428.......7...,2.2290873,1.931448,3.1810463,2.8664136
.....6789..68.91.2...13..5.......895.4.......897.....39.2..3....1.......6....8...,2.0096207,2.0869021,3.3521293,3.1270704
.23.4..8....8...9.7..12.......7...6.........156.....2...4..6..7..598.6.....4...3.,2.4233523,2.0498516,3.3278818,3.013481
......4..4..91..737..2.......7...8..83.67.1...94....6...1..2.46..2..5..8.6..9...2,1.9801756,1.5285738,2.8269438,2.0318578
1...9.....568.2......5......4.3..29....24...3..7.....63....8..287...34.5...6....8,2.0825988,2.1878258,3.0877561,2.5115646
..3..9..44.....1...8.24...58...5..2...7....695...93..7.7.38...1......94.6.5......,1.9422111,1.6250621,3.382719,2.7623042
....8...9456...........12......6.42.8..3.......7.9.5.1.9...8..7..82...4.64..5....,1.9623173,1.8616085,3.0317412,3.8668391
1..8..49..5...18..7......15...6........4.53...9..23...8.5...7...31....2...23...4.,2.3681648,2.3557565,2.6938584,3.2611254
1..........63...71....2..3...4.3..27..1.5.9..6.528.4...678.......8..2..65..4.....,1.9082787,2.0518106,3.2326514,2.2615119
....5.4..........37...231....19..5.6..43....8.7..48.2.....8.......5.7..45..2..73.,2.5472489,2.116466,3.229772,3.4254151
...9.5..84.681...97..........16...5....7.....89.....6131...2.4.........2.6....7..,2.6986265,2.0276446,3.6249569,2.9301003
.2.6.5..8.5.9...7.7......5....2....4...4.3.8...17..6...7...1..9..4...3...1...24..,2.4770481,1.8519999,2.7528604,3.5667478
.23..4....5..192..7.....4..2..5...78..76.....8.....3.5.1..7...26...321...4.1.....,1.8118092,2.0515425,2.6688559,3.0235516
1.....78....3...9...9...5.3.1..5.....64.7...9..2..61...7...4..63...2..1...57..8..,2.4723736,2.2179049,3.4040297,2.9151469
..3.6..........3..7893...6...2..147.5......18..4.5.29....843...63...97.....2.....,1.7918652,1.622833,2.1599751,2.8661681
......9....68.9.7.......245...6......3.2.7....7....58.9..3..8....57....6.1..5...3,2.5252972,1.9148105,2.8593146,3.3156122
.2..6..944.6....7.........559....3...74..1...6..7...8...54.87.......2.5.2..37...6,2.1820096,1.938247,2.5967945,2.2607419
1.....89..5..8............427...8..3...74......4..35.8......6....2..594..972...3.,2.0284795,2.0563676,2.959122,3.0225668
.2358.7...5..2.....8.61....8........26....3....1...8.2.4...15..9......7....7.923.,1.9471114,1.8779819,3.0616298,2.8179837
1.3.6.....5.1........5...46....89.54..7.........217...3...5..9..72..683.9..3..4..,1.727831,2.3536422,3.1074179,2.5269033
.2....4.....7.132...9....1..3...56...7..6.........8.54......8....26...4...593..71,2.2597266,2.033523,2.665119,2.7327846
....5..964..3....7.89...5....1.7..5.3.2....8..9..143..974..1....1.....7......21..,2.0624157,1.8478454,1.9521257,2.7260195
.2....6......8......9..34512.5....6.9..5.8..3.3..1..9...........1847......41...2.,2.3078948,1.9212128,2.4383622,2.408882
...6...7....3.9.2...952.....6..53....9.4..5...4...6317..5..7..32......9....19....,2.227217,2.0168066,2.7480405,2.6490579
.......784.618......93.2..4.3.47....6...5......7.....53..51..9.......2.69....6.8.,1.9730059,2.3618844,2.6715349,3.3763586
.23..67..4..7.............6.3..4.8.5.1...7.2..9.......2.....36..6821..7.....842..,1.8683165,2.1550655,3.5453716,2.5154951
1..6.....45....3.....13..5239....8.5.1..2..7...7........8.6...1...2.3..7..54.8...,2.2331119,1.8476765,2.2689468,2.815586
......78..56...9....912....2.1....3......4..8..4.3.6..3.5....6.....9.4.....7.68..,2.3372703,2.6823726,3.0738339,3.2797909
12.6......5.8.....7....1.2.8....34........875.......1...57.......4.9..6.3.821....,2.4744673,2.4014367,3.0310674,2.9207688
....94..7..62........6.12..3.2......5....948...4..7.9..7..1..46.......3.93..6....,2.5367223,2.5331306,3.3053563,3.3178534
1.38..4.......9....8..34..58.5.........16..7.9...8....34......1..7..15..5...4.7.9,1.9719623,1.9865825,3.0224763,3.1692797
.....8.7..56.9....7.....4...1.54..282..18..5..3.........1.3.5...9...2.4....7...9.,2.4787901,2.3449036,2.9261884,3.1689957
1.34..7..45.........91..........4...3.5.....18..6..9..9.281..6.....7..9..18..5..2,1.9814535,1.8985008,3.3157612,2.634343
...58.7........31...9....5..61.9.4.3...3...96..4.2.....128..........2...54....68.,2.3974423,2.1098612,2.8942506,3.0650681
1....6.5.4.6...7..7.9...4.26..5.2.8..9.....3..1.7..5.9..8..1...........4...2..8..,2.1447303,2.056893,3.1245801,3.4788845
...74.6...5.............1.56...8.9..2.853....59...6.1.8...2..........7...42.97..8,2.3276314,2.3674862,3.3938997,3.5655454
.2.86...7.........7..3....45.4..291...2..6.....15...8.6...7....93..5.6.2.........,2.4983347,2.4840422,4.1556903,3.615222
.2...97.5.5..8.....8...1.6.5749........4....69...3...2..8....5.........1..73...98,1.8325396,1.592254,2.6033467,2.4836072
12.647...4....9......5.1.3...4..2.5.2...1678...1...4..3.8....2..9........4.28....,2.0891705,1.725691,2.5411647,2.3694402
....9.84.45......97.9...6.......2798.....63..2.47..5..5..4.3........1....71.8....,2.112355,2.17833,2.4494171,2.9780533
.....47.9.56..2....89........1..5.93..4....8......65...1.9.8..2....3.1.....42....,2.3215125,2.1931527,3.0270955,3.01712
.23......4.67...2..8...4.....76...45.......8..45...7....4.6.5..5...3..9.9.....3.4,2.2313142,2.3347604,2.7748575,2.8580939
1..8......56.7.2....9....5..18.5..7.2..98......4..3.6.....2...6.7..9..31.4..3....,1.6657402,1.94643,2.6354502,3.1711945
..357...........31....1...4....582..83.9.....2.76....95...3..9.3912.54...4.7.....,1.9029424,2.3339412,2.7252187,2.7118797
.2...6.89..69......8..3....3.42.....2....1....68....14.4.....7....58.1....5.7.86.,1.9710261,2.0820989,2.8640869,3.3709698
123.5.........93.....4...515..6..87..6.3.....9....8.....79...6.6.5....4824...1...,1.9832702,1.9267341,2.5409287,2.7255411
1....8....56....8.7.....4...4.....613....17....1....28.....265.23.49.......3....9,2.4274707,2.1881246,2.7929015,2.9701383
..3...4.....9.1.3.7....4.61.....5.2...74.......432..9..9......3..58.79..6.....8..,2.1557874,2.1341976,2.7195829,3.1372699
.....5......2..1.878........6.4..39...7..6........345...236158.....5..63..5..2...,2.1773382,1.6614983,3.0282187,2.9659388
....64.7..5......37.95........4.2......3...5.2..85.76...1...2....82....56......34,2.140275,2.4993184,2.7445877,3.2189239
..3.85.....67......8.4..6...31...8..9.......324.15.9....5..........9..6.....621.8,2.0663354,2.1954453,3.0024459,2.5807558
..3..........7...278..4......4.5..2....3..6.5.9..1...75..7.6...6.2...8...7...14..,2.5711583,2.6510391,2.9596824,3.2755618
.2.........6.723.1...13..5...2...7.4567...92..9......3....896...7..2....9......82,1.9927803,1.9475183,2.1884231,2.4708271
1..4....64.6..9........235......6.28.6..1.5....75.4.....4...28.83.......6....51..,2.1761113,1.7054535,3.2408479,3.1714886
1....5..9....2..8..8.43..2.....14..22.....6.7.....943.8.5...3..6..573.9..........,2.2953429,2.2665012,3.6064619,3.6382003
...8.....4..7...23...352.1.....7.3.19.....6...61............2...9563.7.8.7..2..6.,2.5264085,2.0584952,3.3130135,3.7851917
...685...4.62........34.......9.7..3..5...17.83......56..7...32.1..3......25...8.,2.233131,1.8185765,2.8536633,2.5724917
1..64.....5.9..1.2...5.2..369...4..1.3....7.........692..4...9...1.5....36....5..,2.2961217,1.9127538,2.3556316,2.9144855
1....8..6.5..3..8..8....5..3927....5...8..1....4.9..2.2....1..9......43.9..2..7..,2.0057147,1.9324906,3.0323904,3.2128699
.2.....5...69....37..5...6.........48..3.95..2..1.53.75..7....6.4...8.3......18..,2.1571472,2.1379806,2.9004593,2.9603746
.2....4.....78..2.7.9...15...4...91.2.1.9..35....2.....18..3....4.........7..9.41,2.2101956,2.0046787,2.9472411,2.5656394
12......94...8.1............6.....785.874.3......6.9.2..7.9.........8..78.25.1..6,2.1695855,2.3014722,3.579146,3.3597812
..356.9..4.......2.8..........8..........2..73....912.64.157..8....8.7.1...9.4...,2.3623001,2.3326917,3.6866824,3.5173629
1...689.44..39.8.2..................64...2739.9.736.853...7....87..2...6..5......,1.9536838,1.8742965,1.7238025,1.8331728
.23....8.4...7.....8.....56.35........43.5..22...8........318..9....76.5.6..4.2..,2.0709442,2.425066,3.1968326,2.5253784
.2......9..6.81..2789...4...7..5.9.1..8...2.....42375.9..3..6..........5.4.6.....,1.7350457,1.6668214,2.5824149,2.7639952
.2.9.......6.....2....36.14.7.5..4.....8..7.9..8.7..5..421..83..65...12.8........,2.0819146,2.0441047,3.1220221,3.0151241
1.36......5..93.2.......64..4192.........6.........9.86....2.3.8.2.6.5....5..9...,2.3910395,2.2997635,3.7495726,3.4148674
..35..8..4..8......8..1.24.5...6.......1.27.62.7...1.4.....1..8..527......4.5.6..,2.1996982,1.8221695,3.0223883,3.0105636
......4....6.1..2..89..4..6...7....28......1.2...3...9.6....3.8.4.5...6....1.8..5,2.6264144,2.2096099,3.124684,4.0679144
.2...6.7........3..8..346..6...817..83.....5....3......61........21..386...4.2..1,1.9820727,2.0751264,3.2262759,2.87236
......9.4.567..21...92.1.6.8............1.48..6.....27392.85.....739........2....,2.3784923,1.9735008,3.1437086,2.5763082
...86.5.7.5.....2.7........63..9...5.1..3..4......1.7354..7.2....2......36.2.9.8.,1.9245657,2.1757259,3.1128739,2.798047
..3......4..81...27......56.....3..7....912.....7..59..65.4.....746.....9..3.58..,2.1424576,2.1809996,2.8440146,3.2252781
.2.4.67..4.6..9..378..3.2..6.87.2.3..1.3..................9.462......3.5.65....7.,2.2336948,2.0716673,2.8317957,2.8284253
...59...74.6....91....3....9..6.8....3..5.27.2...4.....7....6.8......9......8..45,2.4142548,2.1469567,2.6140964,2.6676307
...4...8...6..7....8.2....5..5...67.9..6..3......3.2....45.3..9.9....1..3....2.6.,2.1895659,1.8354249,3.2498394,3.1226205
12..5.7......9731...........9.36.57..6.7........5....4.45...26..7..1..4...2...8..,2.0387824,2.1395382,2.5960157,3.0415818
1...6....45...9..1..9.4.5.6.....6..887..2.....62..5.....76.2........7.9.24..5.1..,2.3478653,2.1106227,2.5295135,3.220025
....5..9.4.6....387...2...68..1..7.9..13.4......587......6..81..18.....45........,1.9447568,1.910716,2.4050197,2.7798208
.2.5.4....5...9371.8.3...4...76.2....92.....7.41.....63......8..7..85.......3.2..,1.6971937,1.785344,2.2087282,2.2249509
...5.8.7.45.....8.78..4.36..9...3.47..4.9.6.33.....2.8....3....9..1.7.....24.....,1.9501743,2.0723289,2.6477633,2.9107571
.2.4...7.45..9..........5...6.9.24..9.1....28......6..6..1.7....15....49372......,2.13849,2.337505,3.4537707,2.760968
1...5.78...6..92...89..3......64..1.6..9.1....4...7.............18...3.29.23..65.,2.0782165,2.2558395,3.3420332,3.1161288
1.38..6....6197.3..8.......5...7321......19..6...2.4......1..2.........9.17569...,1.7689214,1.9129276,2.6486208,2.669569
..3....9.45........8.235.....5.....1.41..8362.3..2....6.........7.6...48...45.7..,2.0230854,2.061044,2.7435844,2.4742628
....4.7.5..6.37..2...15...396..21.3..3.....7.2....84...9.........8...91..42.....7,2.0161226,1.6520668,3.1924796,2.4284484
.....4769..6.2.1....9.....22....3.1.53..48...........391......7..78....5.45..96..,2.1284233,1.6727795,2.5795557,2.8620108
.2.9...7.45....9......32....3...............7..8..425.3.25..1....71...8..1..6..92,2.3180553,2.0235411,3.0843731,2.9659519
